Survey Year,Timestamp, SalaryUSD ,Country,PostalCode,PrimaryDatabase,YearsWithThisDatabase,OtherDatabases,EmploymentStatus,JobTitle,ManageStaff,YearsWithThisTypeOfJob,HowManyCompanies,OtherPeopleOnYourTeam,CompanyEmployeesOverall,DatabaseServers,Education,EducationIsComputerRelated,Certifications,HoursWorkedPerWeek,TelecommuteDaysPerWeek,NewestVersionInProduction,OldestVersionInProduction,PopulationOfLargestCityWithin20Miles,EmploymentSector,LookingForAnotherJob,CareerPlansThisYear,Gender,OtherJobDuties,KindsOfTasksPerformed,Counter
2020,1/4/2020 18:50:34,  115.000 ,United States,03,Microsoft SQL Server,15,"Microsoft SQL Server, MongoDB, Azure SQL DB (any flavor)",Full time employee,"DBA (Production Focus - build & troubleshoot servers, HA/DR)",No,5,1 (this is the only company where I've had this kind of position),2,Not Asked,500,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2019,SQL Server 2016,20K-99K (large town),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/4/2020 10:43:02,  100.000 ,United States,,Other,6,MySQL/MariaDB,Full time employee,"Developer: App code (C#, JS, etc)",No,6,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,informix,informix,1M+ (metropolis),Private business,Not Asked,Prefer not to say,Male,Not Asked,Not Asked,1
2020,1/4/2020 9:51:46,  100.000 ,Spain,28046,Microsoft SQL Server,2,MySQL/MariaDB,Full time employee,Other,Yes,3,1 (this is the only company where I've had this kind of position),1,Not Asked,1,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2017,SQL Server 2017,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/4/2020 1:08:54,  70.000 ,United States,94133,Microsoft SQL Server,3,Microsoft Access,Full time employee,Analyst,No,3,1 (this is the only company where I've had this kind of position),2,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2012,1M+ (metropolis),Private business,Not Asked,Change both employers and roles,Male,Not Asked,Not Asked,1
2020,1/3/2020 15:28:54,  110.000 ,United States,95354,Oracle,30,"Microsoft SQL Server, Oracle, MySQL/MariaDB, PostgreSQL, Azure SQL DB (any flavor)",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,25,3,None,Not Asked,45,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,100K-299K (city),Non-profit,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/3/2020 15:06:15,  79.500 ,United States,78727,Oracle,2,,Full time employee,Analyst,No,2,1 (this is the only company where I've had this kind of position),None,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,Oracle R12,Oracle 11g,1M+ (metropolis),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/3/2020 7:15:51,  110.000 ,United States,14216,Other,4,"Microsoft SQL Server, Oracle, MySQL/MariaDB, Sybase ASE, Sybase IQ, Greenplum",Full time employee,DBA (General - splits time evenly between writing & tuning queries AND building & troubleshooting servers),No,4,1 (this is the only company where I've had this kind of position),More than 5,Not Asked,500,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2008R2,100K-299K (city),Private business,Not Asked,"Stay with the same employer,  but change roles",Male,Not Asked,Not Asked,1
2020,1/3/2020 6:05:41,  39.000 ,Portugal,1000 Lisboa,Microsoft SQL Server,15,,Full time employee of a consulting/contracting company,"Developer: App code (C#, JS, etc)",Yes,15,1 (this is the only company where I've had this kind of position),None,Not Asked,4,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2000,300K-1M (large city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 23:30:38,  58.000 ,United States,85716,Microsoft SQL Server,1,,Full time employee,"Developer: Business Intelligence (SSRS, PowerBI, etc)",No,1,1 (this is the only company where I've had this kind of position),None,Not Asked,3,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,300K-1M (large city),"Education (K-12, college, university)",Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
2020,1/2/2020 23:08:07,  125.000 ,United States,,Microsoft SQL Server,6,"MySQL/MariaDB, Microsoft Access, SQLite, Teradata, SAS ",Full time employee,Engineer,No,4,2 (I worked at another similar position elsewhere before this one),2,Not Asked,9,Not Asked,Not Asked,Not Asked,Not Asked,Not Asked,SQL Server 2016,SQL Server 2016,100K-299K (city),Private business,Not Asked,"Stay with the same employer, same role",Male,Not Asked,Not Asked,1
